"Run Number","Mutation Number","Percentage","Flip Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
0,3,25,100,0.9949965254,0.0174430572,0.9886847906,0.0341551296
0,4,25,100,0.9949965254,0.0209266332,0.9891256429,0.035368412
1,0,25,100,0.9943087174,0.0194245578,0.9877869335,0.0387767092
1,1,25,100,0.992087729,0.0290397958,0.9907298411,0.0319006032
1,2,25,100,0.9945863409,0.0220457671,0.988375515,0.0358439221
1,3,25,100,0.9938922821,0.0226650165,0.988375515,0.0373326396
1,4,25,100,0.9938922821,0.0218728199,0.988375515,0.0359285308
2,0,25,100,0.9949544499,0.0151586804,0.992425346,0.0267825362
2,1,25,100,0.9945339874,0.0182690926,0.9921340131,0.0284171452
2,2,25,100,0.993412754,0.0198684236,0.9911143481,0.0285811018
2,3,25,100,0.9952347582,0.0182928539,0.9909686817,0.0304409813
2,4,25,100,0.994253679,0.0217460214,0.9911143481,0.0298371793
3,0,25,100,0.9947112039,0.0184077745,0.9898752751,0.0349272225
3,1,25,100,0.9899791232,0.0380455487,0.9891415994,0.0353259075
3,2,25,100,0.9949895616,0.0204256685,0.9889948643,0.0349982402
3,3,25,100,0.9906750174,0.0343841341,0.9892883346,0.0327172114
3,4,25,100,0.9954070981,0.0180056768,0.9901687454,0.0296792587
4,0,25,100,0.9942439983,0.0195987483,0.9911298531,0.0301527427
4,1,25,100,0.9945247789,0.0195271612,0.9899665552,0.0336912158
4,2,25,100,0.9949459497,0.0202906472,0.9889486695,0.0332955674
4,3,25,100,0.9945247789,0.0194810675,0.9904027919,0.0347002956
4,4,25,100,0.9943843886,0.0214163925,0.988657845,0.0369122047
0,0,50,25,0.9952744962,0.0173717611,0.987803086,0.0359011161
0,1,50,25,0.9941626129,0.0219684717,0.9885378398,0.0353211866
0,2,50,25,0.9943015983,0.0214178108,0.9867744306,0.0385446104
0,3,50,25,0.9947185546,0.0198037159,0.9885378398,0.0337049079
0,4,50,25,0.9951355108,0.0179455879,0.9898603968,0.0306950011
1,0,50,25,0.993337035,0.0272681603,0.9892583873,0.0359668151
1,1,50,25,0.9944475292,0.021582991,0.9882283697,0.0377046783
1,2,50,25,0.9940310938,0.0233789059,0.9891112419,0.0351929282
1,3,50,25,0.9936146585,0.0212186076,0.9882283696,0.0366778758
1,4,50,25,0.9938922821,0.0222686238,0.9892583873,0.0353507218
2,0,50,25,0.9939733707,0.0204065506,0.9916970138,0.0296418774
2,1,50,25,0.9949544499,0.0183145727,0.9922796795,0.0270565709
2,2,50,25,0.9936930624,0.0213897143,0.9921340131,0.0310177831
2,3,50,25,0.9945339874,0.0196427049,0.9930080117,0.0272979954
2,4,50,25,0.9949544499,0.0193474446,0.9909686817,0.0329036465
3,0,50,25,0.9944328462,0.0210389837,0.9894350697,0.0328057103
3,1,50,25,0.9944328462,0.0202390663,0.98972854,0.0327959851
3,2,50,25,0.9945720251,0.0206333997,0.9900220103,0.0308710241
3,3,50,25,0.993736952,0.0232917695,0.9891415994,0.0344110078
3,4,50,25,0.9945720251,0.0187964269,0.9898752751,0.0322109053
4,0,50,25,0.994103608,0.0229384382,0.9899665552,0.0331729419
4,1,50,25,0.9926997052,0.0253186168,0.9898211429,0.0341355135
4,2,50,25,0.994103608,0.0223725701,0.9896757307,0.0323572606
4,3,50,25,0.9943843886,0.0240968192,0.9890940817,0.0334749958
4,4,50,25,0.9928400955,0.0215619981,0.9905482042,0.033375759
0,0,50,50,0.9943015983,0.0205335107,0.9888317414,0.0358263827
0,1,50,50,0.9947185546,0.0187716945,0.9880969875,0.0347507574
0,2,50,50,0.9938846421,0.0222195272,0.9879500367,0.0360628031
0,3,50,50,0.9943015983,0.0205959868,0.9872152829,0.0379359811
0,4,50,50,0.9947185546,0.0188375398,0.9889786921,0.0372450571
1,0,50,50,0.9945863409,0.0235861602,0.9895526781,0.0354604222
1,1,50,50,0.988478623,0.042155835,0.9898469688,0.0354747094
1,2,50,50,0.9937534703,0.0235899613,0.9895526781,0.0330587587
1,3,50,50,0.9931982232,0.0264712611,0.9874926428,0.0384855991
1,4,50,50,0.9941699056,0.0230227238,0.9889640966,0.0360505569
2,0,50,50,0.9941135249,0.0186611846,0.9922796795,0.0271891117
2,1,50,50,0.9907498248,0.0313693691,0.9915513474,0.0280433235
2,2,50,50,0.9939733707,0.0185993892,0.9915513474,0.0299701112
2,3,50,50,0.993412754,0.0193558948,0.9918426803,0.0300594067
2,4,50,50,0.9948142957,0.0171900368,0.9921340131,0.0285148631
3,0,50,50,0.9947112039,0.0181368773,0.9900220103,0.031233607
3,1,50,50,0.9944328462,0.0191722841,0.9900220103,0.0330824007
3,2,50,50,0.9948503827,0.0192072357,0.9892883346,0.0315866182
3,3,50,50,0.9923451635,0.0256730054,0.9900220103,0.030948018
3,4,50,50,0.9956854558,0.0188281369,0.9901687454,0.032325909
4,0,50,50,0.9946651692,0.0206967537,0.9906936164,0.0313879561
