Mutation Number,Run Number,Accuracy1,Loss1,Accuracy2,Loss2
12,15,0.991555925,0.02428953,0.992030697,0.025692832
12,16,0.994309507,0.024372021,0.990728477,0.030061906
12,17,0.994675634,0.017183192,0.991986012,0.028190608
12,18,0.9957028,0.016772001,0.991158267,0.02850433
12,19,0.995959877,0.016466371,0.990032249,0.031386097
15,0,0.994301598,0.018170156,0.991623806,0.030119883
15,1,0.99375347,0.024372243,0.989405533,0.035913199
15,2,0.994814296,0.019171098,0.990968682,0.029121543
15,3,0.994989562,0.019233532,0.990315481,0.031722437
15,4,0.993963218,0.021470698,0.990839029,0.032359524
15,5,0.993702771,0.022085171,0.989495185,0.032476935
15,6,0.994086173,0.018740325,0.988837344,0.034421039
15,7,0.994396189,0.020565843,0.989653162,0.035240619
15,8,0.994830236,0.019851737,0.989478299,0.036475016
15,9,0.993975904,0.023134233,0.987612941,0.037185716
15,10,0.993473129,0.020583056,0.988674805,0.036235071
15,11,0.995760317,0.014132784,0.989023686,0.036039318
15,12,0.994393047,0.017322877,0.991406933,0.027353365
15,13,0.992753623,0.025198667,0.990328253,0.031548993
15,14,0.995042493,0.014841818,0.990489914,0.030344651
15,15,0.993217054,0.020242908,0.992178276,0.026508071
15,16,0.99389313,0.024490327,0.988668138,0.035347343
15,17,0.994675634,0.013055702,0.990528923,0.032504493
15,18,0.995841419,0.015694452,0.990421456,0.028774554
15,19,0.995402619,0.016966017,0.991498094,0.027644598
16,0,0.995413482,0.016616334,0.989860397,0.033297972
16,1,0.99375347,0.021499806,0.989258387,0.032182081
16,2,0.995094604,0.016093301,0.99184268,0.027575785
16,3,0.994572025,0.019433167,0.989875275,0.032347538
16,4,0.993401657,0.023111572,0.989821143,0.033875499
16,5,0.993003079,0.02125705,0.990224686,0.032066422
16,6,0.994226978,0.01893041,0.989417222,0.032435163
16,7,0.994396189,0.019174297,0.990673273,0.035122192
16,8,0.994690513,0.019324676,0.990208973,0.035740801
16,9,0.994536285,0.022890115,0.987904401,0.038801405
16,10,0.99291765,0.022392077,0.989116046,0.03433998
16,11,0.995053703,0.014564647,0.988012709,0.040719074
16,12,0.995794786,0.014393806,0.991261288,0.027783838
16,13,0.992335563,0.02501658,0.987543962,0.034565225
16,14,0.994617564,0.016680376,0.98962536,0.032868985
16,15,0.995155039,0.016152715,0.990850059,0.027217531
16,16,0.994309507,0.023909473,0.98807947,0.034877775
16,17,0.994115174,0.016789553,0.991111759,0.032053606
16,18,0.995425561,0.01677745,0.991452991,0.027194963
16,19,0.994427417,0.019332041,0.989592495,0.031591314
17,0,0.995691452,0.016932266,0.990742101,0.031422383
17,1,0.994863964,0.021488079,0.991318423,0.032112927
17,2,0.995094604,0.01482724,0.993008012,0.025819844
17,3,0.99638135,0.015595464,0.99002201,0.030148242
17,4,0.995647901,0.017211604,0.99156609,0.030362608
17,5,0.992583263,0.027801634,0.990516487,0.029398885
17,6,0.996057449,0.013856162,0.989852131,0.030480827
17,7,0.995236761,0.018597876,0.990673273,0.036160609
17,8,0.994550789,0.019769027,0.989624434,0.031702691
17,9,0.994396189,0.021039,0.990673273,0.032962529
17,10,0.994584086,0.019166923,0.99029269,0.032499402
17,11,0.997032222,0.008950498,0.990034662,0.033343722
17,12,0.995093916,0.014423668,0.990969997,0.026431686
17,13,0.993311037,0.022397818,0.99091442,0.030050894
17,14,0.995184136,0.01464895,0.991066282,0.02843723
17,15,0.995016611,0.013767299,0.991587957,0.026366836
17,16,0.9944483,0.022473525,0.988373804,0.035197562
17,17,0.995236094,0.012818496,0.990820341,0.030862342
17,18,0.9957028,0.016324085,0.991158267,0.030390899
17,19,0.994288103,0.017789085,0.99135151,0.029176014
20,0,0.994718555,0.018793146,0.989419544,0.033866095
20,1,0.994863964,0.020388029,0.988816951,0.035127545
20,2,0.994253679,0.017923293,0.990531682,0.033351147
20,3,0.995546277,0.018845256,0.990462216,0.033395802
20,4,0.994384389,0.019307935,0.988512433,0.034837942
20,5,0.994122586,0.023324504,0.987890283,0.036095638
20,6,0.994367784,0.017383585,0.988982314,0.033884957
20,7,0.994256094,0.020245091,0.988341591,0.038199728
20,8,0.994411066,0.02003938,0.98889376,0.034442199
20,9,0.995096666,0.021318544,0.988195861,0.036655852
20,10,0.994584086,0.018842304,0.989263127,0.031750397
20,11,0.996042962,0.012105647,0.989168111,0.039640444
20,12,0.995934959,0.014980989,0.988785319,0.030214012
20,13,0.991638796,0.029473906,0.988862837,0.03288571
20,14,0.994475921,0.018136801,0.990345821,0.029360786
20,15,0.994324474,0.016813781,0.991587957,0.02591928
20,16,0.99389313,0.025648096,0.988520971,0.038394685
20,17,0.994255289,0.015946932,0.991111759,0.028786597
20,18,0.995564181,0.018256513,0.990274094,0.030442157
20,19,0.994984675,0.0210999,0.990765172,0.029170093
23,0,0.994996525,0.019290862,0.988390889,0.039336424
23,1,0.993337035,0.024498715,0.987492643,0.0391875
23,2,0.995094604,0.017540044,0.991697014,0.027944728
23,3,0.994711204,0.019697868,0.986940572,0.037137706
23,4,0.994524779,0.019067653,0.99025738,0.032818983
23,5,0.994122586,0.021089021,0.989495185,0.0335192
23,6,0.994508589,0.016237682,0.989417222,0.033490667
23,7,0.994396189,0.019119525,0.989215972,0.035585412
23,8,0.994550789,0.020258684,0.990208973,0.033133892
23,9,0.995236761,0.021338885,0.988924512,0.034655492
23,10,0.993889738,0.019557346,0.989851449,0.031733336
